country,state,district,num_donors,total_amount,avg_amount
INDIA,ANDAMAN & NICOBAR ISLANDS,NICOBAR,2,2050,1025
INDIA,ANDAMAN & NICOBAR ISLANDS,NORTH & MIDDLE ANDAMAN,1,1,1
INDIA,ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,5,1900,380
INDIA,ANDHRA PRADESH,ADILABAD,11,8576,779.64
INDIA,ANDHRA PRADESH,ANANTAPUR,28,57713,2061.18
INDIA,ANDHRA PRADESH,CHITTOOR,23,13232,575.3
INDIA,ANDHRA PRADESH,EAST GODAVARI,24,30616,1275.67
INDIA,ANDHRA PRADESH,GUNTUR,31,25539,823.84
INDIA,ANDHRA PRADESH,HYDERABAD,792,952886,1203.14
INDIA,ANDHRA PRADESH,KARIMNAGAR,20,15517,775.85
INDIA,ANDHRA PRADESH,KHAMMAM,13,3200,246.15
INDIA,ANDHRA PRADESH,KRISHNA,58,51155,881.98
INDIA,ANDHRA PRADESH,KURNOOL,18,19666,1092.56
INDIA,ANDHRA PRADESH,MAHBUBNAGAR,8,11350,1418.75
INDIA,ANDHRA PRADESH,MEDAK,20,7513,375.65
INDIA,ANDHRA PRADESH,NALGONDA,12,5670,472.5
INDIA,ANDHRA PRADESH,NIZAMABAD,9,6846,760.67
INDIA,ANDHRA PRADESH,OTHERS,5,1601,320.2
INDIA,ANDHRA PRADESH,PRAKASAM,17,11123,654.29
INDIA,ANDHRA PRADESH,RANGAREDDY,201,334679,1665.07
INDIA,ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,16,17912,1119.5
INDIA,ANDHRA PRADESH,SRIKAKULAM,12,10532,877.67
INDIA,ANDHRA PRADESH,VISAKHAPATNAM,106,155647,1468.37
INDIA,ANDHRA PRADESH,VIZIANAGARAM,9,6051,672.33
INDIA,ANDHRA PRADESH,WARANGAL,12,6212,517.67
INDIA,ANDHRA PRADESH,WEST GODAVARI,10,6210,621
INDIA,ANDHRA PRADESH,Y. S. R.,15,15961,1064.07
INDIA,ARUNACHAL PRADESH,PAPUM PARE,4,1800,450
INDIA,ARUNACHAL PRADESH,TIRAP,1,501,501
INDIA,ARUNACHAL PRADESH,WEST SIANG,1,1000,1000
INDIA,ASSAM,BAKSA,1,500,500
INDIA,ASSAM,BARPETA,2,100,50
INDIA,ASSAM,BONGAIGAON,4,2400,600
INDIA,ASSAM,CACHAR,6,10725,1787.5
INDIA,ASSAM,CHIRANG,1,300,300
INDIA,ASSAM,DHUBRI,3,1020,340
INDIA,ASSAM,DIBRUGARH,16,11967,747.94
INDIA,ASSAM,DIMA HASAO,1,200,200
INDIA,ASSAM,GOALPARA,1,251,251
INDIA,ASSAM,GOLAGHAT,1,100,100
INDIA,ASSAM,HAILAKANDI,3,1101,367
INDIA,ASSAM,JORHAT,4,1700,425
INDIA,ASSAM,KAMRUP,49,33374,681.1
INDIA,ASSAM,KAMRUP METROPOLITAN,41,23096,563.32
INDIA,ASSAM,KARBI ANGLONG,2,200,100
INDIA,ASSAM,KARIMGANJ,4,2200,550
INDIA,ASSAM,KOKRAJHAR,3,611,203.67
INDIA,ASSAM,LAKHIMPUR,8,1622,202.75
INDIA,ASSAM,MORIGAON,4,2250,562.5
INDIA,ASSAM,NAGAON,9,1913,212.56
INDIA,ASSAM,NALBARI,1,500,500
INDIA,ASSAM,SIVASAGAR,11,7050,640.91
INDIA,ASSAM,SONITPUR,10,2543,254.3
INDIA,ASSAM,TINSUKIA,11,19872,1806.55
INDIA,BIHAR,ARARIA,4,1201,300.25
INDIA,BIHAR,ARWAL,2,21,10.5
INDIA,BIHAR,AURANGABAD,15,16801,1120.07
INDIA,BIHAR,BANKA,8,3143,392.88
INDIA,BIHAR,BEGUSARAI,30,12174,405.8
INDIA,BIHAR,BHAGALPUR,31,10748,346.71
INDIA,BIHAR,BHOJPUR,17,4336,255.06
INDIA,BIHAR,BUXAR,10,6800,680
INDIA,BIHAR,DARBHANGA,21,7215,343.57
INDIA,BIHAR,GAYA,38,24979,657.34
INDIA,BIHAR,GOPALGANJ,4,1700,425
INDIA,BIHAR,JAMUI,6,6010,1001.67
INDIA,BIHAR,JEHANABAD,5,5401,1080.2
INDIA,BIHAR,KAIMUR (BHABUA),1,1000,1000
INDIA,BIHAR,KATIHAR,3,5200,1733.33
INDIA,BIHAR,KHAGARIA,10,1011,101.1
INDIA,BIHAR,KISHANGANJ,4,211,52.75
INDIA,BIHAR,LAKHISARAI,11,1934,175.82
INDIA,BIHAR,MADHEPURA,7,747,106.71
INDIA,BIHAR,MADHUBANI,20,6724,336.2
INDIA,BIHAR,MUNGER,29,14494,499.79
INDIA,BIHAR,MUZAFFARPUR,50,28879,577.58
INDIA,BIHAR,NALANDA,20,8323,416.15
INDIA,BIHAR,NAWADA,5,900,180
INDIA,BIHAR,PASHCHIM CHAMPARAN,18,5349,297.17
INDIA,BIHAR,PATNA,167,168339,1008.02
INDIA,BIHAR,PURNIA,19,4846,255.05
INDIA,BIHAR,PURVI CHAMPARAN,13,9114,701.08
INDIA,BIHAR,ROHTAS,25,10965,438.6
INDIA,BIHAR,SAHARSA,10,1456,145.6
INDIA,BIHAR,SAMASTIPUR,11,2361,214.64
INDIA,BIHAR,SARAN,11,2773,252.09
INDIA,BIHAR,SHEIKHPURA,6,1810,301.67
INDIA,BIHAR,SITAMARHI,9,2019,224.33
